slug,name,age,position,score_agg,score_defender,score_passer,score_rebounder,score_scorer,score_shooter,points_per_game_score,made_field_goals_score,offensive_win_shares_score,true_shooting_percentage_score,made_three_point_field_goals_per_game_score,field_goal_pct_score,assists_per_game_score,assist_percentage_score,rebounds_per_game_score,total_rebound_percentage_score,defensive_win_shares_score,steal_percentage_score,block_percentage_score,year,rank_player,rank_player_pct,caliber,0,1,2,3,4,labels_ordered,labels
bealbr01,Bradley Beal,27,SHOOTING GUARD,3.8451228878648234,0.5922832394606588,0.874189281447346,0.6074095408772828,0.9819849803720772,0.7892558457074587,0.3994708994708995,0.2988095238095238,0.2837045570916539,0.3006571087216249,0.3289810547875064,0.15961768219832737,0.44141491722136883,0.43277436422597715,0.3885048643113159,0.2189046765659669,0.36980500085338797,0.13885155316606929,0.08362668544120157,2021,27.0,0.9312169312169312,star,scorer,passer,shooter,rebounder,defender,"scorer,passer,shooter,rebounder,defender","['scorer', 'passer', 'shooter']"
gilgesh01,Shai Gilgeous-Alexander,22,SHOOTING GUARD,3.8401529697900667,0.5045709592080561,0.9612028503157535,0.642494452978324,0.9011542072025942,0.8307305000853389,0.37601979860044377,0.25162570404505885,0.27350870455709164,0.35366103430619567,0.3049325823519372,0.172136883427206,0.47676651305683565,0.4844363372589179,0.394499914661205,0.24799453831711896,0.2661503669568186,0.052963389656938045,0.18545720259429938,2021,28.0,0.9285714285714286,star,passer,scorer,shooter,rebounder,defender,"passer,scorer,shooter,rebounder,defender","['passer', 'scorer', 'shooter']"
ballla01,LaMelo Ball,19,POINT GUARD,3.8257027116402114,0.7826967592592593,0.890707671957672,0.8169642857142857,0.7108630952380952,0.6244708994708994,0.30634920634920637,0.210515873015873,0.19399801587301585,0.21230158730158732,0.29444444444444445,0.11772486772486773,0.4340277777777778,0.4566798941798942,0.4262566137566137,0.390707671957672,0.39971891534391535,0.24094742063492064,0.14203042328042328,2021,29.0,0.9259259259259259,star,passer,rebounder,defender,scorer,shooter,"passer,rebounder,defender,scorer,shooter","['passer', 'rebounder', 'defender']"
willizi01,Zion Williamson,20,POWER FORWARD,3.81136063011063,0.5824765512265513,0.8317700817700817,0.7855940355940356,0.9884559884559885,0.6230639730639731,0.3900432900432901,0.2992063492063492,0.2992063492063492,0.3826839826839827,0.046176046176046176,0.1942039442039442,0.4205146705146705,0.4112554112554112,0.43452380952380953,0.3510702260702261,0.30083573833573835,0.13158369408369408,0.1500571188071188,2021,30.0,0.9232804232804233,star,scorer,passer,rebounder,shooter,defender,"scorer,passer,rebounder,shooter,defender","['scorer', 'passer', 'rebounder']"
holidjr01,Jrue Holiday,30,POINT GUARD,3.7718501984126984,0.8258515211640212,0.7410714285714286,0.6013558201058201,0.8309523809523809,0.7726190476190476,0.32222222222222224,0.24771825396825395,0.2610119047619047,0.3228835978835979,0.28134920634920635,0.16838624338624342,0.4017857142857143,0.3392857142857143,0.3587962962962963,0.2425595238095238,0.43642526455026454,0.23131613756613756,0.15811011904761904,2021,31.0,0.9206349206349206,star,scorer,defender,shooter,passer,rebounder,"scorer,defender,shooter,passer,rebounder","['scorer', 'defender', 'shooter']"
youngth01,Thaddeus Young,32,POWER FORWARD,3.7649621212121214,0.7808591871091871,0.8941798941798942,0.8077801827801827,0.7872414622414621,0.49490139490139495,0.2714766714766715,0.25670995670995667,0.25905483405483404,0.26813371813371817,0.041991341991341996,0.1847763347763348,0.43428330928330927,0.4598965848965849,0.39135401635401634,0.4164261664261664,0.40494227994227994,0.22585978835978837,0.1500571188071188,2021,32.0,0.917989417989418,star,passer,rebounder,scorer,defender,shooter,"passer,rebounder,scorer,defender,shooter","['passer', 'rebounder', 'scorer']"
anderky01,Kyle Anderson,27,POWER FORWARD,3.71720177970178,0.8846200096200096,0.8278018278018278,0.6996753246753247,0.7545274170274171,0.5505772005772006,0.2746031746031746,0.23189033189033187,0.24803391053391052,0.19997594997594997,0.24203944203944205,0.10856180856180855,0.42508417508417506,0.4027176527176527,0.3776455026455027,0.322029822029822,0.46623977873977873,0.22585978835978837,0.19252044252044254,2021,33.0,0.9153439153439153,star,defender,passer,scorer,rebounder,shooter,"defender,passer,scorer,rebounder,shooter","['defender', 'passer', 'scorer']"
bookede01,Devin Booker,24,SHOOTING GUARD,3.7153812510667352,0.6403876514763611,0.8501664106502815,0.5626706775900324,0.936409796893668,0.7257467144563919,0.3882915173237754,0.2921979006656426,0.25592037890424985,0.269747397166752,0.29904420549581845,0.1569551117938215,0.43339307048984466,0.41677334016043693,0.3437660010240655,0.2189046765659669,0.4644457245263697,0.09231524150878989,0.08362668544120157,2021,34.0,0.9126984126984127,star,scorer,passer,shooter,defender,rebounder,"scorer,passer,shooter,defender,rebounder","['scorer', 'passer', 'shooter']"
westbru01,Russell Westbrook,32,POINT GUARD,3.705960648148148,0.7176339285714285,0.9958664021164021,0.9675925925925926,0.6517857142857143,0.3730820105820106,0.3591269841269842,0.27996031746031746,0.012698412698412698,0.0673941798941799,0.21230158730158732,0.0933862433862434,0.4958664021164021,0.5,0.49272486772486773,0.4748677248677249,0.470568783068783,0.14417989417989419,0.10288525132275132,2021,35.0,0.91005291005291,star,passer,rebounder,defender,scorer,shooter,"passer,rebounder,defender,scorer,shooter","['passer', 'rebounder', 'defender']"
vanvlfr01,Fred VanVleet,26,SHOOTING GUARD,3.7033890168970816,0.873245221027479,0.9472499573306025,0.4891726403823178,0.8605030721966207,0.5332181259600614,0.35094726062468,0.25363543266769073,0.25592037890424985,0.12943335040109233,0.384220856801502,0.019563918757467144,0.484084314729476,0.46316564260112647,0.33843232633555215,0.15074031404676566,0.4351531831370541,0.23135347328895717,0.20673856460146783,2021,36.0,0.9074074074074074,star,passer,defender,scorer,shooter,rebounder,"passer,defender,scorer,shooter,rebounder","['passer', 'defender', 'scorer']"
